7pix+5pix slit scan
12 0.000053         0.000076
13 0.221322         0.000234
14 0.442593         0.000389
15 0.663865         0.000542
16 0.885139         0.000692
17 1.106414         0.000839
18 1.327691         0.000984
19 1.548969         0.001126
20 1.770248         0.001266
21 1.991529         0.001402
22 2.212812         0.001536
23 2.434096         0.001668
 
long cross scan c
1  0.000070         -0.804753
2  0.000066         -0.704026
3  0.000063         -0.603294
4  0.000060         -0.503665
5  0.000058         -0.402925
6  0.000056         -0.302181
7  0.000054         -0.201433
8  0.000053         -0.099573
9  0.000053         0.000076
10 0.000053         0.099728
11 0.000053         0.201600
12 0.000054         0.302368
13 0.000056         0.403140
14 0.000057         0.503915
15 0.000060         0.603588
16 0.000062         0.704371
17 0.000065         0.805158
 
long cross scan nod1
1  -0.945243         -0.804837
2  -0.945238         -0.704118
3  -0.945233         -0.603395
4  -0.945228         -0.503774
5  -0.945222         -0.403043
6  -0.945215         -0.302307
7  -0.945208         -0.201567
8  -0.945200         -0.099716
9  -0.945192         -0.000076
10 -0.945184         0.099569
11 -0.945175         0.201432
12 -0.945165         0.302191
13 -0.945155         0.402955
14 -0.945145         0.503722
15 -0.945134         0.603386
16 -0.945123         0.704162
17 -0.945111         0.804941
 
long cross scan nod2
1  0.945410         -0.803608
2  0.945398         -0.702872
3  0.945386         -0.602132
4  0.945375         -0.502495
5  0.945364         -0.401747
6  0.945354         -0.300995
7  0.945344         -0.200238
8  0.945335         -0.098371
9  0.945326         0.001286
10 0.945317         0.100947
11 0.945309         0.202826
12 0.945301         0.303602
13 0.945294         0.404382
14 0.945287         0.505166
15 0.945280         0.604846
16 0.945274         0.705638
17 0.945269         0.806433
 
7x3 pixel map c
1  -0.022074         0.000060
2  -0.044201         0.000044
3  -0.066327         0.000028
4  -0.066327         0.033245
5  -0.044201         0.033261
6  -0.022074         0.033277
7  0.000053         0.033293
8  0.000053         0.000076
9  0.000053         -0.033141
10 -0.022074         -0.033157
11 -0.044201         -0.033173
12 -0.066328         -0.033189
13 0.044307         0.000107
14 0.066434         0.000123
15 0.066434         -0.033094
16 0.044307         -0.033110
17 0.022180         -0.033125
18 0.022180         0.000091
19 0.022180         0.033309
20 0.044307         0.033325
21 0.066433         0.033341
 
7x3 pixel map nod1
1  -0.967319         -0.000093
2  -0.989445         -0.000110
3  -1.011571         -0.000127
4  -1.011568         0.033087
5  -0.989442         0.033104
6  -0.967316         0.033122
7  -0.945190         0.033139
8  -0.945192         -0.000076
9  -0.945195         -0.033290
10 -0.967321         -0.033307
11 -0.989448         -0.033324
12 -1.011574         -0.033341
13 -0.900940         -0.000042
14 -0.878814         -0.000025
15 -0.878816         -0.033239
16 -0.900942         -0.033256
17 -0.923069         -0.033273
18 -0.923066         -0.000059
19 -0.923063         0.033156
20 -0.900937         0.033173
21 -0.878811         0.033190
 
7x3 pixel map nod2
1  0.923198         0.001271
2  0.901071         0.001256
3  0.878943         0.001241
4  0.878941         0.034461
5  0.901068         0.034476
6  0.923195         0.034491
7  0.945323         0.034506
8  0.945326         0.001286
9  0.945329         -0.031933
10 0.923201         -0.031948
11 0.901073         -0.031963
12 0.878946         -0.031978
13 0.989581         0.001316
14 1.011708         0.001330
15 1.011711         -0.031889
16 0.989584         -0.031904
17 0.967456         -0.031919
18 0.967453         0.001301
19 0.967450         0.034521
20 0.989578         0.034536
21 1.011705         0.034550
 
along slit nod
1  -0.945192         -0.000076
2  0.945326         0.001286
 
